Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.5
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.8470405
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.69105515
American Samoa,ASM,Individuals using the Internet (% of population),IT.NET.USER.ZS,.0001
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,91.56746703
Angola,AGO,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.33907936
Antarctica,ATA,Individuals using the Internet (% of population),IT.NET.USER.ZS,.0001
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,76
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.29490687
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.74488433
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.17
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,86.54504885
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.93558659
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,79
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,85
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.87813575
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,15
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.76077839
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,74.43644541
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.67968082
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,47.0826258
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,20
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.37
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,48.10641588
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.83227607
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.89197728
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,47
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.47128452
British Virgin Islands,VGB,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.70426829
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,94.86669164
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.41010138
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,16
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,2.660748535
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.16214635
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,32.44694856
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.20297197
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,91
Cayman Islands,CYM,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.06769325
Central African Republic,CAF,Individuals using the Internet (% of population),IT.NET.USER.ZS,4.339254945
Chad,TCD,Individuals using the Internet (% of population),IT.NET.USER.ZS,6.49999812
Channel Islands,CHI,Individuals using the Internet (% of population),IT.NET.USER.ZS,.0001
Chile,CHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,82.32748693
China,CHN,Individuals using the Internet (% of population),IT.NET.USER.ZS,54.3
Colombia,COL,Individuals using the Internet (% of population),IT.NET.USER.ZS,62.25988032
Comoros,COM,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.478170295
"Congo, Dem. Rep.",COD,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.619904916
"Congo, Rep.",COG,Individuals using the Internet (% of population),IT.NET.USER.ZS,8.65
Costa Rica,CRI,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.3907709
Cote d'Ivoire,CIV,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.83992085
Croatia,HRV,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.09619204
Cuba,CUB,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.14840432
Curacao,CUW,Individuals using the Internet (% of population),IT.NET.USER.ZS,68.12721625
Cyprus,CYP,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.74318897
Czech Republic,CZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.71916143
Denmark,DNK,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.09936216
Djibouti,DJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,55.68140925
Dominica,DMA,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.61966879
Dominican Republic,DOM,Individuals using the Internet (% of population),IT.NET.USER.ZS,67.57123468
Ecuador,ECU,Individuals using the Internet (% of population),IT.NET.USER.ZS,57.27224368
"Egypt, Arab Rep.",EGY,Individuals using the Internet (% of population),IT.NET.USER.ZS,44.95020425
El Salvador,SLV,Individuals using the Internet (% of population),IT.NET.USER.ZS,33.8207289
Equatorial Guinea,GNQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,26.23999996
Eritrea,ERI,Individuals using the Internet (% of population),IT.NET.USER.ZS,1.30890698
Estonia,EST,Individuals using the Internet (% of population),IT.NET.USER.ZS,88.10245687
Eswatini,SWZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,47
Ethiopia,ETH,Individuals using the Internet (% of population),IT.NET.USER.ZS,18.61805145
Falkland Islands,FLK,Individuals using the Internet (% of population),IT.NET.USER.ZS,.0001
Faroe Islands,FRO,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.58195894
Fiji,FJI,Individuals using the Internet (% of population),IT.NET.USER.ZS,49.96637301
Finland,FIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,87.46892907
France,FRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.50245972
French Polynesia,PYF,Individuals using the Internet (% of population),IT.NET.USER.ZS,72.70389531
French South and Antarctic Lands,ATF,Individuals using the Internet (% of population),IT.NET.USER.ZS,.001
Gabon,GAB,Individuals using the Internet (% of population),IT.NET.USER.ZS,62
"Gambia, The",GMB,Individuals using the Internet (% of population),IT.NET.USER.ZS,19.83645444
Georgia,GEO,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.7055046
Germany,DEU,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.39550077
Ghana,GHA,Individuals using the Internet (% of population),IT.NET.USER.ZS,39
Gibraltar,GIB,Individuals using the Internet (% of population),IT.NET.USER.ZS,.0001
Greece,GRC,Individuals using the Internet (% of population),IT.NET.USER.ZS,70.54943345
Greenland,GRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,69.48246178
Grenada,GRD,Individuals using the Internet (% of population),IT.NET.USER.ZS,59.07173536
Guam,GUM,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.50546556
Guatemala,GTM,Individuals using the Internet (% of population),IT.NET.USER.ZS,65
Guinea,GIN,Individuals using the Internet (% of population),IT.NET.USER.ZS,18
Guinea-Bissau,GNB,Individuals using the Internet (% of population),IT.NET.USER.ZS,3.930509152
Guyana,GUY,Individuals using the Internet (% of population),IT.NET.USER.ZS,37.32583679
Haiti,HTI,Individuals using the Internet (% of population),IT.NET.USER.ZS,12.32610358
Honduras,HND,Individuals using the Internet (% of population),IT.NET.USER.ZS,31.7
"Hong Kong SAR, China",HKG,Individuals using the Internet (% of population),IT.NET.USER.ZS,89.41594465
Hungary,HUN,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.75054712
Iceland,ISL,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.26
India,IND,Individuals using the Internet (% of population),IT.NET.USER.ZS,34.45
Indonesia,IDN,Individuals using the Internet (% of population),IT.NET.USER.ZS,32.2924419
"Iran, Islamic Rep.",IRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,64.04397362
Iraq,IRQ,Individuals using the Internet (% of population),IT.NET.USER.ZS,49.35999889
Ireland,IRL,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.11400706
Isle of Man,IMN,Individuals using the Internet (% of population),IT.NET.USER.ZS,.0001
Israel,ISR,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.58118359
Italy,ITA,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.077347
Jamaica,JAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,55.07206705
Japan,JPN,Individuals using the Internet (% of population),IT.NET.USER.ZS,84.58806583
Jordan,JOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,66.79031443
Kazakhstan,KAZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.42674823
Kenya,KEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,17.82710021
Kiribati,KIR,Individuals using the Internet (% of population),IT.NET.USER.ZS,14.58181818
"Korea, Dem. People’s Rep.",PRK,Individuals using the Internet (% of population),IT.NET.USER.ZS,.0001
"Korea, Rep.",KOR,Individuals using the Internet (% of population),IT.NET.USER.ZS,95.06942188
Kosovo,KOS,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.89359681
Kuwait,KWT,Individuals using the Internet (% of population),IT.NET.USER.ZS,100
Kyrgyz Republic,KGZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,38
Lao PDR,LAO,Individuals using the Internet (% of population),IT.NET.USER.ZS,25.51043508
Latvia,LVA,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.114077
Lebanon,LBN,Individuals using the Internet (% of population),IT.NET.USER.ZS,78.18077489
Lesotho,LSO,Individuals using the Internet (% of population),IT.NET.USER.ZS,29
Liberia,LBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,7.984479722
Libya,LBY,Individuals using the Internet (% of population),IT.NET.USER.ZS,21.75892062
Liechtenstein,LIE,Individuals using the Internet (% of population),IT.NET.USER.ZS,98.1
Lithuania,LTU,Individuals using the Internet (% of population),IT.NET.USER.ZS,77.61525651
Luxembourg,LUX,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.36296032
"Macao SAR, China",MAC,Individuals using the Internet (% of population),IT.NET.USER.ZS,83.17408907
Madagascar,MDG,Individuals using the Internet (% of population),IT.NET.USER.ZS,9.8
Malawi,MWI,Individuals using the Internet (% of population),IT.NET.USER.ZS,13.78216439
Malaysia,MYS,Individuals using the Internet (% of population),IT.NET.USER.ZS,80.14047901
Maldives,MDV,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.18566588
Mali,MLI,Individuals using the Internet (% of population),IT.NET.USER.ZS,13
Malta,MLT,Individuals using the Internet (% of population),IT.NET.USER.ZS,81.01191108
Marshall Islands,MHL,Individuals using the Internet (% of population),IT.NET.USER.ZS,38.70116262
Mauritania,MRT,Individuals using the Internet (% of population),IT.NET.USER.ZS,20.80096366
Mauritius,MUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,55.4032403
Mexico,MEX,Individuals using the Internet (% of population),IT.NET.USER.ZS,63.85224909
"Micronesia, Fed. Sts.",FSM,Individuals using the Internet (% of population),IT.NET.USER.ZS,35.30405287
Moldova,MDA,Individuals using the Internet (% of population),IT.NET.USER.ZS,76.12451989
Monaco,MCO,Individuals using the Internet (% of population),IT.NET.USER.ZS,97.05297684
Mongolia,MNG,Individuals using the Internet (% of population),IT.NET.USER.ZS,23.71426517
Montenegro,MNE,Individuals using the Internet (% of population),IT.NET.USER.ZS,71.27233254
Morocco,MAR,Individuals using the Internet (% of population),IT.NET.USER.ZS,61.76221201
Mozambique,MOZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,10
Myanmar,MMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,30.67818311
Namibia,NAM,Individuals using the Internet (% of population),IT.NET.USER.ZS,51
Nauru,NRU,Individuals using the Internet (% of population),IT.NET.USER.ZS,57
