Country,IncarcerationRate,
Afghanistan,1.696,
Albania,2.503,
Algeria,2.155,
Angola,1.736,
Argentina,2.471,
Armenia,1.941,
Australia,2.361,
Austria,1.775,
Azerbaijan,2.859,
Bahrain,2.851,
Bangladesh,1.419,
Belarus,3.713,
Belgium,1.696,
Benin,1.538,
Bhutan,2.147,
Bolivia,2.234,
Bosnia and Herzegovina,1.578,
Botswana,2.645,
Brazil,3.595,
Bulgaria,1.989,
Burkina Faso,1.324,
Burundi,1.665,
Cambodia,2.495,
Cameroon,1.957,
Canada,1.902,
Central African Republic,1.127,
Chad,1.467,
Chile,2.772,
China,2.503,
Colombia,2.891,
Costa Rica,3.959,
Cote d' Ivoire,1.522,
Croatia,1.617,
Cuba,5,
Cyprus,1.657,
Czech Republic,2.606,
Democratic Republic of the Congo,1.229,
Denmark,1.498,
Djibouti,1.522,
Dominican Republic,2.883,
Ecuador,2.756,
Egypt,1.918,
El Salvador,5,
Equatorial Guinea,1.498,
Eritrea,5,
Estonia,2.543,
Ethiopia,2.005,
Finland,1.403,
France,1.823,
Gabon,2.511,
Georgia,3.096,
Germany,1.601,
Ghana,1.396,
Greece,1.767,
Guatemala,2.108,
Guinea,1.198,
Guinea-Bissau,1.079,
Guyana,3.239,
Haiti,1.633,
Honduras,2.709,
Hungary,2.369,
Iceland,1.293,
India,1.261,
Indonesia,1.759,
Iran,3.247,
Iraq,1.997,
Ireland,1.633,
Israel,2.867,
Italy,1.783,
Jamaica,2.092,
Japan,1.324,
Jordan,2.558,
Kazakhstan,2.471,
Kenya,1.854,
Kosovo,1.752,
Kuwait,2.242,
Kyrgyz Republic,2.353,
Laos,1.941,
Latvia,2.543,
Lebanon,1.997,
Lesotho,1.728,
Liberia,1.372,
Libya,1.783,
Lithuania,2.859,
Macedonia (FYR),2.115,
Madagascar,1.641,
Malawi,1.633,
Malaysia,2.4,
Mali,1.261,
Mauritania,1.364,
Mauritius,2.614,
Mexico,2.297,
Moldova,2.677,
Mongolia,1.807,
Montenegro,2.424,
Morocco,2.835,
Mozambique,1.483,
Myanmar,2.353,
Namibia,3.334,
Nepal,1.514,
Netherlands,1.483,
New Zealand,2.693,
Nicaragua,3.183,
Niger,1.419,
Nigeria,1.301,
North Korea,5,
Norway,1.498,
Oman,1.285,
Pakistan,1.34,
Palestine,1.324,
Panama,4.125,
Papua New Guinea,1.498,
Paraguay,2.574,
Peru,3.176,
Philippines,2.416,
Poland,2.503,
Portugal,1.997,
Qatar,1.419,
Republic of the Congo,1.214,
Romania,1.846,
Russia,4.077,
Rwanda,4.671,
Saudi Arabia,2.558,
Senegal,1.601,
Serbia,2.218,
Sierra Leone,1.459,
Singapore,2.59,
Slovakia,2.495,
Slovenia,1.506,
Somalia,1.396,
South Africa,3.263,
South Korea,1.862,
South Sudan,1.411,
Spain,2.005,
Sri Lanka,1.744,
Sudan,1.411,
Swaziland,3.231,
Sweden,1.467,
Switzerland,1.641,
Syria,1.475,
Taiwan,3.096,
Tajikistan,1.957,
Tanzania,1.459,
Thailand,5,
The Gambia,1.459,
Timor-Leste,1.403,
Togo,1.506,
Trinidad and Tobago,3.31,
Tunisia,2.432,
Turkey,3.516,
Turkmenistan,5,
Uganda,2.021,
Ukraine,2.21,
United Arab Emirates,1.823,
United Kingdom,2.1,
United States of America,5,
Uruguay,3.539,
Uzbekistan,2.187,
Venezuela,2.408,
Vietnam,2.084,
Yemen,1.419,
Zambia,2.155,
Zimbabwe,1.949,
